#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BirthDeath.t:sample2_aligned" spec="beast.base.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:sample2_aligned" lower="0.0" name="relativeDeathRate" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:sample2_aligned" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sample2_aligned" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.sample2_aligned" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sample2_aligned" name="distribution" x="@BDBirthRate.t:sample2_aligned">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sample2_aligned" name="distribution" x="@BDDeathRate.t:sample2_aligned">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:sample2_aligned" name="distribution">
#            <parameter id="kappa.s:sample2_aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:sample2_aligned" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:sample2_aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@sample2_aligned" id="treeLikelihood.sample2_aligned" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sample2_aligned">
#            <siteModel id="SiteModel.s:sample2_aligned" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sample2_aligned" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sample2_aligned" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sample2_aligned" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:sample2_aligned" kappa="@kappa.s:sample2_aligned" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:sample2_aligned" id="estimatedFreqs.s:sample2_aligned" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:sample2_aligned" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:sample2_aligned" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	BirthDeath	BDBirthRate	BDDeathRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-104382.4869004314	-104374.9280330674	-7.558867364008176	-104374.9280330674	0.7455674046143382	2.447651894863461	-2.882453224541739	1.0	0.5	2.0	0.25	0.25	0.25	0.25
1000	-42933.707713486794	-42940.580204413374	6.872490926579616	-42940.580204413374	0.009655556188413902	0.02260674937131204	11.659610704098917	116.46821407492192	0.08535780047879361	2.267052886233331	0.25	0.239839794794255	0.25	0.260160205205745
2000	-42569.7867398997	-42581.23440155263	11.447661652933936	-42581.23440155263	0.0013809155205992303	0.004544460198717156	16.296763666184162	767.7230322150697	0.12789913715752071	2.427627460540029	0.25	0.239839794794255	0.25	0.260160205205745
3000	-42568.09675976641	-42579.67699920275	11.580239436334688	-42579.67699920275	0.0012626305565376966	0.0043800511741373185	16.429341449584914	491.56175511816457	0.20460449390008761	2.427627460540029	0.25	0.239839794794255	0.25	0.260160205205745
4000	-42569.312159333334	-42580.14987113097	10.837711797634794	-42580.14987113097	0.0015345578890501419	0.0057468917828838745	15.68681381088502	468.31163029647996	0.12603987182400864	2.427627460540029	0.25	0.239839794794255	0.25	0.260160205205745
5000	-42567.73223157026	-42577.83616401161	10.103932441347732	-42577.83616401161	0.0013902162415563035	0.005259481524351891	14.953034454597958	514.6521804311074	0.5943011608083905	2.427627460540029	0.25	0.239839794794255	0.25	0.260160205205745
6000	-42566.61871345863	-42577.36751806928	10.748804610653105	-42577.36751806928	0.0013316049966477332	0.004957105779818487	15.59790662390333	288.7373669698702	0.03610746814439719	2.427627460540029	0.25	0.239839794794255	0.25	0.260160205205745
7000	-42567.00151086142	-42578.42851466439	11.427003802969333	-42578.42851466439	0.001219642831564313	0.004551895636571081	16.27610581621956	448.8528640050997	0.2362789651902181	2.427627460540029	0.25	0.239839794794255	0.25	0.260160205205745
8000	-42568.794684785185	-42578.665881212946	9.871196427763586	-42578.665881212946	0.0012537638531661666	0.004711162295260231	14.720298441013812	630.8725538004472	0.6603326312783797	2.427627460540029	0.25	0.239839794794255	0.25	0.260160205205745
9000	-42567.25103072567	-42577.3388004075	10.087769681838331	-42577.3388004075	0.0014655569771634105	0.005294562975115323	14.936871695088557	439.8467069557469	0.6502101052880563	2.427627460540029	0.25	0.239839794794255	0.25	0.260160205205745
10000	-42566.57677013487	-42577.52977362386	10.953003488988218	-42577.52977362386	0.0013830156070613778	0.005204992465333095	15.802105502238444	354.27027398463014	0.0971333339006245	2.427627460540029	0.25	0.239839794794255	0.25	0.260160205205745
11000	-42570.9725193212	-42582.02514273769	11.052623416490974	-42582.02514273769	0.0013192210053942766	0.004997475202760176	15.813452965476017	316.5517434394776	0.4917031251855315	2.1998900298420017	0.25	0.239839794794255	0.25	0.260160205205745
12000	-42569.09856199326	-42579.57416668807	10.47560469481322	-42579.57416668807	0.001537635868291014	0.005265510831053948	15.236434243798263	713.7677679682182	0.3721862937950647	2.1998900298420017	0.25	0.239839794794255	0.25	0.260160205205745
13000	-42570.595219380026	-42581.39155117755	10.796331797524289	-42581.39155117755	0.0014957426592320192	0.0055809384454063625	15.55716134650933	302.67975362298637	0.24331388833101425	2.1998900298420017	0.25	0.239839794794255	0.25	0.260160205205745
14000	-42568.49266792068	-42579.85301480567	11.360346884987962	-42579.85301480567	0.0013492901305818615	0.004752852307086901	16.121176433973005	488.5800457556855	0.31359871342353113	2.1998900298420017	0.25	0.239839794794255	0.25	0.260160205205745
15000	-42568.43603665894	-42579.07947011624	10.64343345729976	-42579.07947011624	0.001486697987270148	0.005363615800141768	15.404263006284802	210.95323096014604	0.6977084946688331	2.1998900298420017	0.25	0.239839794794255	0.25	0.260160205205745
16000	-42570.422781034176	-42580.4530774117	10.03029637752249	-42580.4530774117	0.0013558226412665629	0.005220928254419288	14.791125926507531	166.84898262179615	0.8677139950606955	2.1998900298420017	0.25	0.239839794794255	0.25	0.260160205205745
