#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BirthDeath.t:sample1_aligned" spec="beast.base.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:sample1_aligned" lower="0.0" name="relativeDeathRate" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:sample1_aligned" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sample1_aligned" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.sample1_aligned" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sample1_aligned" name="distribution" x="@BDBirthRate.t:sample1_aligned">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sample1_aligned" name="distribution" x="@BDDeathRate.t:sample1_aligned">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:sample1_aligned" name="distribution">
#            <parameter id="kappa.s:sample1_aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:sample1_aligned" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:sample1_aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@sample1_aligned" id="treeLikelihood.sample1_aligned" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sample1_aligned">
#            <siteModel id="SiteModel.s:sample1_aligned" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sample1_aligned" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sample1_aligned" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sample1_aligned" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:sample1_aligned" kappa="@kappa.s:sample1_aligned" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:sample1_aligned" id="estimatedFreqs.s:sample1_aligned" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:sample1_aligned" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:sample1_aligned" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	BirthDeath	BDBirthRate	BDDeathRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-104703.73113201502	-104694.09594300843	-9.635189006586897	-104694.09594300843	2.0329838688166006	4.496033839837736	-4.958774867120459	1.0	0.5	2.0	0.25	0.25	0.25	0.25
1000	-45585.26431653166	-45587.4619009788	2.1975844471357995	-45587.4619009788	0.05395935203675165	0.11025161964524144	6.873998586602237	35.215136208747204	0.5258906609253408	2.0	0.25	0.25	0.25	0.25
2000	-43076.26482412508	-43083.51125147112	7.246427346041289	-43083.51125147112	0.008633402991057368	0.020366532167441897	11.922841485507726	91.32155972401569	0.3229510718096117	2.0	0.25	0.25	0.25	0.25
3000	-42803.21291306062	-42814.02674577965	10.813832719028776	-42814.02674577965	0.0017714432307948164	0.005503328879725421	15.490246858495214	719.7543264968504	0.2080698598863956	2.0	0.25	0.25	0.25	0.25
4000	-42786.236802738036	-42796.364169942455	10.12736720441974	-42796.364169942455	0.0017123286344040503	0.0051322820983224805	14.876168526025968	67.0234656175795	0.7302852924131225	2.1716302044918874	0.24081096976041022	0.25	0.25	0.2591890302395898
5000	-42627.46399885099	-42637.985560202884	10.521561351893777	-42637.985560202884	0.0019071486583310112	0.00579723578085079	15.2813134925466	619.6622975414111	0.3119147921301045	2.1716302044918874	0.24081096976041022	0.23855686942531165	0.25	0.27063216081427816
6000	-42625.309407137014	-42635.99442019239	10.685013055377386	-42635.99442019239	0.001589288174248216	0.004669239145880799	15.501110399955373	750.9881612099873	0.49728676006098993	2.3157542515953695	0.24081096976041022	0.23855686942531165	0.25	0.27063216081427816
7000	-42625.36634064292	-42636.01192050866	10.645579865741006	-42636.01192050866	0.0017731758974137988	0.005611479176307578	15.46167721031899	207.6266009962274	0.5758090765920187	2.3157542515953695	0.24081096976041022	0.23855686942531165	0.25	0.27063216081427816
8000	-42625.73735159299	-42637.39698280301	11.65963121002617	-42637.39698280301	0.0014474240720851494	0.004378923441378972	16.475728554604157	827.4454959618666	0.06074442762373542	2.3157542515953695	0.24081096976041022	0.23855686942531165	0.25	0.27063216081427816
9000	-42626.72285514466	-42637.89737241229	11.174517267628431	-42637.89737241229	0.0017143702297449253	0.0051448538848211925	15.990614612206418	427.4211550764941	0.1435638401007707	2.3157542515953695	0.24081096976041022	0.23855686942531165	0.25	0.27063216081427816
10000	-42625.695647780725	-42636.49686314477	10.801215364046463	-42636.49686314477	0.0018973294694458183	0.005694338790287253	15.617312708624448	483.87804721166225	0.30074279794650277	2.3157542515953695	0.24081096976041022	0.23855686942531165	0.25	0.27063216081427816
11000	-42522.94475783789	-42533.65584463201	10.711086794124554	-42533.65584463201	0.0015751378279266113	0.0049092388890191576	15.531195680827459	716.12586290642	0.4221097287468872	2.3157542515953695	0.24851772253476764	0.23085011665095423	0.25	0.27063216081427816
12000	-42525.225598255594	-42535.392282909874	10.166684654281756	-42535.392282909874	0.0021432765799638777	0.006262911593094037	14.98679354098466	811.2312106646847	0.017648324679587133	2.3157542515953695	0.24851772253476764	0.23085011665095423	0.25	0.27063216081427816
13000	-42522.35433057057	-42532.983152915076	10.628822344509732	-42532.983152915076	0.0018510595391289036	0.005434698678867612	15.448931231212635	257.5035092427782	0.18774894141844647	2.3157542515953695	0.24851772253476764	0.23085011665095423	0.25	0.27063216081427816
14000	-42522.030123281955	-42532.89756197519	10.867438693229609	-42532.89756197519	0.0016346329000573624	0.004995644647494909	15.687547579932511	646.9850239302373	0.39089625106855036	2.3157542515953695	0.24851772253476764	0.23085011665095423	0.25	0.27063216081427816
15000	-42524.99967823682	-42533.70895194272	8.709273705897964	-42533.70895194272	0.0015406873662233097	0.004825230800480533	13.529382592600868	748.3186545523271	0.7593555543774421	2.3157542515953695	0.24851772253476764	0.23085011665095423	0.25	0.27063216081427816
16000	-42525.99161603552	-42537.48051819528	11.488902159764635	-42537.48051819528	0.001487548750927851	0.004617171416694585	16.30901104646754	766.8720513677769	0.08680451063558185	2.3157542515953695	0.24851772253476764	0.23085011665095423	0.25	0.27063216081427816
17000	-42522.58905169236	-42533.3586374484	10.769585756042613	-42533.3586374484	0.0018952554742370144	0.005491112996636614	15.589694642745515	231.98935088752467	0.5018723866523201	2.3157542515953695	0.24851772253476764	0.23085011665095423	0.25	0.27063216081427816
18000	-42525.68242044289	-42535.78176124876	10.099340805869698	-42535.78176124876	0.0020725315449382905	0.006200058258021242	14.919449692572602	846.5152283643205	0.03274430031507389	2.3157542515953695	0.24851772253476764	0.23085011665095423	0.25	0.27063216081427816
19000	-42382.96285510661	-42393.84951325843	10.886658151815972	-42393.84951325843	0.0017655658942106844	0.005250054543458598	15.727804230757345	418.18581417053935	0.49819019104634144	2.3157542515953695	0.26156844539788293	0.21779939378783897	0.25	0.27063216081427816
20000	-42385.34848090917	-42396.33053567206	10.982054762888016	-42396.33053567206	0.001915215364150665	0.005508642356495688	15.823200841829388	556.9904133873918	0.13077614023576037	2.3157542515953695	0.26156844539788293	0.21779939378783897	0.25	0.27063216081427816
21000	-42383.651343265636	-42394.55460742373	10.903264158091428	-42394.55460742373	0.001990153004973502	0.005764187168780998	15.7444102370328	568.0886460529822	0.013665064549347582	2.3157542515953695	0.26156844539788293	0.21779939378783897	0.25	0.27063216081427816
