#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BirthDeath.t:sample1_aligned" spec="beast.base.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:sample1_aligned" lower="0.0" name="relativeDeathRate" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:sample1_aligned" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sample1_aligned" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.sample1_aligned" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sample1_aligned" name="distribution" x="@BDBirthRate.t:sample1_aligned">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sample1_aligned" name="distribution" x="@BDDeathRate.t:sample1_aligned">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@sample1_aligned" id="treeLikelihood.sample1_aligned" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sample1_aligned">
#            <siteModel id="SiteModel.s:sample1_aligned" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sample1_aligned" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sample1_aligned" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sample1_aligned" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sample1_aligned" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:sample1_aligned" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:sample1_aligned" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	BirthDeath	BDBirthRate	BDDeathRate
0	-80940.68416829577	-80932.72300077778	-7.961167517995797	-80932.72300077778	0.6463468109673474	1.5449428873826485	-1.0534122390136607	1.0	0.5
1000	-49666.10592496762	-49663.379867104144	-2.726057863471496	-49663.379867104144	0.1275255828663856	0.25762097789228416	4.181697415510641	17.148419806396547	0.6356357182747588
2000	-44258.96609174687	-44259.44855078555	0.4824590386761516	-44259.44855078555	0.029624201550165388	0.062114388859342326	7.390214317658288	97.10103468396724	0.44324744582107256
3000	-42964.909266415634	-42970.901949937666	5.992683522033406	-42970.901949937666	0.005591108361895436	0.014236921647332628	12.900438801015543	187.44794902970114	0.4013935590112072
4000	-42837.83158681932	-42846.24767669173	8.416089872418182	-42846.24767669173	0.001776855388463769	0.005581683981002963	15.323845151400318	123.76759769389315	0.8098134744763608
5000	-42838.55748013756	-42847.21805437999	8.660574242429618	-42847.21805437999	0.0015560471588881508	0.004951032644289735	15.568329521411755	131.15857895532008	0.8606408491860773
6000	-42837.040444186554	-42845.360906090296	8.320461903744514	-42845.360906090296	0.0017570497590643328	0.005316418720601264	15.22821718272665	527.3170169906426	0.561532413573173
7000	-42838.937136638015	-42846.88072896064	7.943592322623918	-42846.88072896064	0.0015243847064666644	0.004849153737799343	14.851347601606054	901.1878707982886	0.4760113428652719
8000	-42837.99775955228	-42846.24766141695	8.249901864667295	-42846.24766141695	0.0018262531894249867	0.00546927270948372	15.157657143649432	582.7192494621235	0.510653398896652
9000	-42838.52203482367	-42847.25469933411	8.732664510440673	-42847.25469933411	0.0016125817695518756	0.005057524458122804	15.64041978942281	433.7292145493915	0.5584418130647992
10000	-42838.39624038342	-42846.91321063547	8.516970252040455	-42846.91321063547	0.0017345599101754167	0.005392389700824278	15.424725531022592	551.6187640964123	0.4401552822902945
11000	-42840.36895286499	-42848.61586594492	8.246913079931366	-42848.61586594492	0.0014020857638290867	0.004362448317201209	15.154668358913503	718.5909383462888	0.657485536332503
12000	-42836.377874572114	-42845.55816447346	9.18028990135096	-42845.55816447346	0.001604490736028757	0.004871775823662862	16.088045180333097	484.7984807437865	0.34108442276264367
13000	-42839.27919926601	-42846.31505684837	7.035857582357863	-42846.31505684837	0.0019366519352618985	0.005617320025814349	13.94361286134	22.049192751153896	0.8609135979184473
14000	-42837.66350938218	-42846.40712454153	8.743615159352279	-42846.40712454153	0.00192994322932632	0.005520430413815263	15.651370438334416	280.51568633562533	0.3978161787497702
15000	-42838.91850131823	-42847.25809575824	8.33959444000849	-42847.25809575824	0.0018211821732634892	0.005475603136533583	15.247349718990627	791.5532907480535	0.2518783721045199
