#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BirthDeath.t:sample3_aligned" spec="beast.base.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:sample3_aligned" lower="0.0" name="relativeDeathRate" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:sample3_aligned" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sample3_aligned" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.sample3_aligned" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sample3_aligned" name="distribution" x="@BDBirthRate.t:sample3_aligned">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sample3_aligned" name="distribution" x="@BDDeathRate.t:sample3_aligned">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@sample3_aligned" id="treeLikelihood.sample3_aligned" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sample3_aligned">
#            <siteModel id="SiteModel.s:sample3_aligned" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sample3_aligned" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sample3_aligned" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sample3_aligned" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sample3_aligned" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:sample3_aligned" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:sample3_aligned" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	BirthDeath	BDBirthRate	BDDeathRate
0	-93911.79077376398	-93902.83349476384	-8.95727900014141	-93902.83349476384	0.7066892939344898	2.0944429842345045	-2.0495237211592734	1.0	0.5
1000	-43161.53622852523	-43164.61341533413	3.077186808909355	-43164.61341533413	0.02377272303711806	0.049051295081597945	9.984942087891492	17.891895895087323	0.9059826875560537
2000	-41927.379208623286	-41935.52719671777	8.147988094479244	-41935.52719671777	0.002479891314164995	0.006140208769616704	15.05574337346138	189.72701273821002	0.3261286354166102
3000	-41840.206147225625	-41851.69252133801	11.486374112387484	-41851.69252133801	5.01003612665587E-4	0.001601136939676333	18.39412939136962	572.4398172314728	0.15718022581285468
4000	-41840.407069913424	-41852.660455316916	12.253385403493041	-41852.660455316916	5.098079934867158E-4	0.0016424233144604395	19.161140682475178	965.3161825942324	0.5688413639177958
5000	-41841.89150642539	-41855.2486969891	13.357190563717534	-41855.2486969891	3.591594399089741E-4	0.001097572083010718	20.26494584269967	795.6652345849792	0.6671414626294113
6000	-41842.5092472297	-41852.256857405504	9.747610175810294	-41852.256857405504	5.286763384369168E-4	0.0017377405890646926	16.65536545479243	204.53268317257618	0.36771734747861984
7000	-41840.93907629005	-41852.192364656104	11.253288366053525	-41852.192364656104	4.810071080074102E-4	0.0015659095042953215	18.16104364503566	290.89539815713135	0.5600989472561803
8000	-41839.97208544572	-41852.744052875	12.771967429281855	-41852.744052875	4.1646730270154635E-4	0.001321942488028752	19.67972270826399	785.5637744800457	0.5188547649233102
9000	-41843.46790960908	-41854.57437714054	11.106467531461924	-41854.57437714054	6.154868980082759E-4	0.0020658529626620733	18.01422281044406	579.4483950995439	0.10050413730426494
10000	-41841.099346425675	-41853.016667803946	11.917321378270806	-41853.016667803946	5.791218114467534E-4	0.001780458770507976	18.825076657252943	912.5154198415241	0.6363369165684045
11000	-41841.20761741396	-41853.05019841837	11.8425810044161	-41853.05019841837	5.49018009941977E-4	0.0018657540161722576	18.750336283398237	719.1407024343979	0.42393768117109787
12000	-41842.65857952343	-41854.58022896908	11.92164944564546	-41854.58022896908	4.864495515268729E-4	0.001537018682577179	18.829404724627597	612.498914618878	0.3114834862998316
13000	-41840.24300383746	-41852.24304721435	12.000043376891277	-41852.24304721435	4.6453940404204703E-4	0.0015390367667189187	18.907798655873414	325.2975809619972	0.8931083477758619
14000	-41841.81057815061	-41854.28414515569	12.473567005080895	-41854.28414515569	3.530434552462047E-4	0.0011710032682218081	19.38132228406303	697.6656585351806	0.3010945028403289
15000	-41840.97494147229	-41852.74423803894	11.76929656665341	-41852.74423803894	6.096044972849916E-4	0.0019502793150860146	18.677051845635546	743.2762443927622	0.5183301683184689
16000	-41841.646843083894	-41854.21972055383	12.572877469940526	-41854.21972055383	3.79485302741872E-4	0.0012900746421307212	19.480632748922663	799.404599416633	0.7899727556511489
17000	-41841.98111963172	-41853.221337735406	11.240218103688502	-41853.221337735406	5.998752318647689E-4	0.0019821638319853286	18.14797338267064	870.2378024652892	0.6965628250486238
18000	-41840.35602197516	-41852.22539374479	11.86937176963093	-41852.22539374479	4.491991036724541E-4	0.0014732168604156257	18.777127048613067	671.7276216842383	0.1537842255039184
19000	-41840.02919778695	-41852.07897747318	12.049779686236324	-41852.07897747318	5.243909121529673E-4	0.0016083421950771092	18.95753496521846	619.1193938238224	0.4334499520178851
20000	-41839.74806812445	-41851.881903763984	12.13383563953181	-41851.881903763984	4.6813603285458826E-4	0.001491534677674866	19.041590918513947	365.34344933015444	0.7080201840402426
21000	-41841.318507955046	-41852.47174888057	11.153240925526461	-41852.47174888057	5.536903775213373E-4	0.0018224237039693452	18.060996204508598	745.5018361893035	0.805186071752381
22000	-41839.96420674217	-41852.52382755436	12.55962081219614	-41852.52382755436	4.62945231963062E-4	0.001447160787429088	19.467376091178277	946.4376565004668	0.2853217826472101
23000	-41840.00131253127	-41852.4592341716	12.457921640330706	-41852.4592341716	4.381457844196022E-4	0.0014435774537250477	19.365676919312843	532.780435674735	0.7186673282602849
24000	-41839.99128701139	-41852.22130908394	12.23002207255217	-41852.22130908394	4.3605947417625006E-4	0.0014104298294867717	19.137777351534307	780.4363445155649	0.18789009713803936
25000	-41841.96904939663	-41854.02542735137	12.056377954736469	-41854.02542735137	3.578506196000205E-4	0.0011661700336934528	18.964133233718606	417.4934990974595	0.9442221871573531
