#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BirthDeath.t:sample4_aligned" spec="beast.base.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:sample4_aligned" lower="0.0" name="relativeDeathRate" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:sample4_aligned" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sample4_aligned" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.sample4_aligned" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sample4_aligned" name="distribution" x="@BDBirthRate.t:sample4_aligned">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sample4_aligned" name="distribution" x="@BDDeathRate.t:sample4_aligned">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:sample4_aligned" name="distribution">
#            <parameter id="kappa.s:sample4_aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:sample4_aligned" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:sample4_aligned" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@sample4_aligned" id="treeLikelihood.sample4_aligned" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sample4_aligned">
#            <siteModel id="SiteModel.s:sample4_aligned" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sample4_aligned" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sample4_aligned" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sample4_aligned" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:sample4_aligned" kappa="@kappa.s:sample4_aligned" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:sample4_aligned" id="estimatedFreqs.s:sample4_aligned" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:sample4_aligned" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:sample4_aligned" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	BirthDeath	BDBirthRate	BDDeathRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-92681.31959757024	-92673.48282010852	-7.836777461718022	-92673.48282010852	1.4716044859472084	3.1586240253420597	-3.160363322251584	1.0	0.5	2.0	0.25	0.25	0.25	0.25
1000	-46553.48609594815	-46554.718924407454	1.2328284593052778	-46554.718924407454	0.07754670130742444	0.1562642698787126	5.909242598771716	18.834378262627585	0.06921971160162169	2.0	0.25	0.25	0.25	0.25
2000	-42878.1316374007	-42885.15541819664	7.02378079594111	-42885.15541819664	0.00977993096180144	0.020734653433553546	11.787090364643102	143.8782041135102	0.7035949775711482	2.2188398797235642	0.25	0.25	0.25	0.25
3000	-42600.64944732941	-42611.57375757201	10.924310242605504	-42611.57375757201	0.0021446832404460048	0.0051473447497083925	15.936841074612214	513.6562550011595	0.4794254932019209	2.881487764020597	0.25	0.25	0.25	0.25
4000	-42598.3458775007	-42609.74686064789	11.400983147181716	-42609.74686064789	0.0020688624890537613	0.004672161031392939	16.413513979188426	610.0807683232977	0.1247904579389436	2.881487764020597	0.25	0.25	0.25	0.25
5000	-42597.46972334281	-42608.875677499644	11.40595415683675	-42608.875677499644	0.0019107148154779263	0.004492438559063962	16.504171598952666	476.191470590436	0.3240420875076113	3.123352108214253	0.25	0.25	0.25	0.25
6000	-42598.89737097762	-42610.043932497756	11.146561520135126	-42610.043932497756	0.00179354108289067	0.004244129232202446	16.244778962251043	979.374583398697	0.2814725159765024	3.123352108214253	0.25	0.25	0.25	0.25
7000	-42597.69685970737	-42608.57164376989	10.874784062512628	-42608.57164376989	0.002266701333744739	0.0051411433418784205	15.973001504628545	160.3680191008379	0.8941158873319266	3.123352108214253	0.25	0.25	0.25	0.25
8000	-42598.3357556853	-42608.993980914755	10.658225229450672	-42608.993980914755	0.0022656798042362462	0.0051056013013553204	15.756442671566589	922.4431375271611	0.02589260331256451	3.123352108214253	0.25	0.25	0.25	0.25
9000	-42599.00945043632	-42610.33673646017	11.327286023851624	-42610.33673646017	0.0019866670516430697	0.0047544134963597015	16.317054608938314	451.92863326856303	0.31375338979226436	2.8185223510531956	0.25	0.25	0.25	0.25
10000	-42442.49187951846	-42453.79989262891	11.308013110454223	-42453.79989262891	0.001958567554016081	0.004600779651502068	16.303926023158883	722.7401821265257	0.2862263547693057	2.8185223510531956	0.25	0.25	0.2386917804742447	0.26130821952575534
11000	-42442.805079146776	-42453.3806714401	10.575592293326935	-42453.3806714401	0.0022793459899431447	0.005270316456604872	15.571505206031594	279.7270673763427	0.11921820778264819	2.8185223510531956	0.25	0.25	0.2386917804742447	0.26130821952575534
12000	-42442.7368170425	-42454.200794867334	11.463977824832323	-42454.200794867334	0.0018478262028539473	0.004326275685397267	16.459890737536984	403.19791403494634	0.22908926335662155	2.8185223510531956	0.25	0.25	0.2386917804742447	0.26130821952575534
13000	-42442.02286782676	-42453.14540687474	11.12253904798428	-42453.14540687474	0.0021985173775791976	0.005120011222617106	16.11845196068894	444.0909160207036	0.435987600721797	2.8185223510531956	0.25	0.25	0.2386917804742447	0.26130821952575534
14000	-42442.726435307275	-42454.09259474003	11.36615943275537	-42454.09259474003	0.0020481878856076774	0.00470626326130894	16.36207234546003	656.7338912720172	0.16921640938164068	2.8185223510531956	0.25	0.25	0.2386917804742447	0.26130821952575534
15000	-42337.09789231378	-42348.0250311738	10.927138860020264	-42348.0250311738	0.002297683453284395	0.005242537076883729	15.92632736450205	673.0135447490671	0.23963351753417148	2.8185223510531956	0.2582585866647265	0.24174141333527346	0.2386917804742447	0.26130821952575534
16000	-42337.92741646854	-42349.69040282441	11.762986355871995	-42349.69040282441	0.0018144717271024544	0.004210913103886423	16.695640473556537	289.744607510706	0.6747576251256668	2.637433477764573	0.2582585866647265	0.24174141333527346	0.2386917804742447	0.26130821952575534
17000	-42337.9443781552	-42348.475461473405	10.531083318201407	-42348.475461473405	0.002354002490760501	0.005464932581788458	15.46373743588595	200.96843883305291	0.3902500951156129	2.637433477764573	0.2582585866647265	0.24174141333527346	0.2386917804742447	0.26130821952575534
18000	-42339.274559407335	-42350.29370677742	11.01914737008512	-42350.29370677742	0.0021684742338792832	0.005155854844811221	15.951801487769663	626.3075512786778	0.31519127501692473	2.637433477764573	0.2582585866647265	0.24174141333527346	0.2386917804742447	0.26130821952575534
19000	-42336.618738336256	-42347.977930910565	11.359192574309255	-42347.977930910565	0.0019766533203799557	0.004593423356836115	16.291846691993797	871.4132156390638	0.03379350896464248	2.637433477764573	0.2582585866647265	0.24174141333527346	0.2386917804742447	0.26130821952575534
20000	-42336.65777494284	-42347.87189409937	11.214119156529147	-42347.87189409937	0.0021518419270694185	0.005034301491448558	16.14677327421369	526.4524048870742	0.3506030871579799	2.637433477764573	0.2582585866647265	0.24174141333527346	0.2386917804742447	0.26130821952575534
21000	-42328.63161794411	-42339.5537929314	10.922174987287752	-42339.5537929314	0.002073503974413518	0.004882937450067541	15.9169225116271	874.1355283585715	0.16980247197584425	2.7881248322392076	0.2582585866647265	0.22883942342719438	0.2515937703823238	0.26130821952575534
22000	-42136.75811798953	-42147.49388492467	10.735766935142495	-42147.49388492467	0.0019074151320991831	0.004535709485464006	15.776121515372434	953.430021764374	0.38716112499271205	2.7881248322392076	0.2582585866647265	0.21093081187486443	0.2515937703823238	0.2792168310780853
23000	-42029.47552445147	-42040.85493123395	11.379406782482695	-42040.85493123395	0.001969161667623888	0.004527347337949317	16.47764652139613	504.1889550382193	0.18947394402046827	2.7881248322392076	0.27460714888713833	0.19458224965245263	0.2515937703823238	0.2792168310780853
24000	-42031.26664306708	-42042.058885803905	10.792242736824937	-42042.058885803905	0.0019069197577155016	0.004568745285361093	15.890482475738374	257.7939510590945	0.2733917984541139	2.7881248322392076	0.27460714888713833	0.19458224965245263	0.2515937703823238	0.2792168310780853
25000	-42032.972641626	-42044.1635045362	11.19086291019566	-42044.1635045362	0.002221553882272394	0.0048715757179136525	16.289102649109097	521.6051891168569	0.12334560895293613	2.7881248322392076	0.27460714888713833	0.19458224965245263	0.2515937703823238	0.2792168310780853
